;	coding: utf-8
5492	ещё не обнаруженные руины
5493	осталась только одна руина
7736	Рейнор, владыка коалиции
5398	нет мода
5500	локально выбрать всё
5501	переключать юнита
5502	рабочий
5503	солдат
5504	здание
5505	все солдаты, локально выбрать всё
5506	локальный юнит
5507	общее здание
5510	состояние ресурса 1
5511	состояние ресурса 2
5512	состояние ресурса 3
5513	состояние населения
5514	отмена или просмотр карты
5515	переключить интерфейс юнитов и зданий
5516	переключить интерфейс команд и навыков
5517	переключить рюкзак и снаряжение
5518	войти в справку и запросы
5519	войти в интерфейс дипломатии
5520	экран атрибутов
5521	рюкзак
5522	экран снаряжения
5523	выбрать следующую цель
5524	выбрать предыдущую цель
5525	выбрать следующую полезную цель
5526	выбрать предыдущую полезную цель
5527	на клетку на север
5528	на клетку на юг
5529	на клетку на запад
5530	на клетку на восток
5531	следующая разведанная клетка
5532	предыдущая разведанная клетка
5533	следующая клетка конфликта
5534	предыдущая клетка конфликта
5535	следующая неизвестная клетка
5536	предыдущая неизвестная клетка
5537	следующая клетка ресурсов
5538	предыдущая клетка ресурсов
5539	команда по умолчанию
5540	подтвердить команду
5541	осмотреть
5542	следовать виду юнита
5543	здоровье юнита
5544	описание следующей цели
5545	описание предыдущей цели
5546	объявить список игроков
5547	история назад
5548	история вперёд
5549	игровое меню
5550	громче
5551	тише
5552	режим от первого лица
5553	консоль
5554	переключить музыку
5555	полный экран
5556	переключить говорящие часы
5557	сменить игрока
5558	отдать приказ юниту
5559	буквенный ярлык команды
5560	переключить фильтр стороны
5561	переключить фильтр типа
5562	отдать приказ зданию
5563	листать следующую команду
5564	повторить последнюю команду
5565	сразу повторить последнюю команду
5566	команда
5567	листать следующий навык
5568	навык
5569	список навыков
5570	автоатака
5571	справка следующий пункт
5572	справка предыдущий пункт
5573	объявить время
5574	открыть ввод чата
5575	переключить метроном
5576	выйти из интерфейса справки
5577	следующее месторождение ресурса 1
5578	предыдущее месторождение ресурса 1
5579	следующее месторождение ресурса 2
5580	предыдущее месторождение ресурса 2
5581	следующее месторождение ресурса 3
5582	предыдущее месторождение ресурса 3
5583	следующий луг
5584	предыдущий луг
5585	следующий проход
5586	предыдущий проход
5587	переключить зум
5588	выйти из просмотра карты
5589	выбрать кандидата союза
5590	отправить запрос союза
5591	принять союз
5592	отклонить или отменить союз
5593	выйти из интерфейса дипломатии
5594	отменить команду
5595	точность зума
5596	выбрать юнитов
5597	все
5598	половина
5599	треть
5600	четверть
5601	пятая часть
5602	расформировать группу
5603	контрольная группа 1
5604	контрольная группа 2
5605	контрольная группа 3
5606	контрольная группа 4
5610	Control
5611	Shift
5612	Alt
5613	вверх
5614	вниз
5615	влево
5616	вправо
5617	PageUp
5618	PageDown
5619	Home
5620	End
5621	Tab
5622	пробел
5623	Enter
5624	Enter на цифровой клавиатуре
5625	Escape
5626	Backspace
5627	плюс на цифровой клавиатуре
5628	минус на цифровой клавиатуре
5629	знак равенства
5630	минус
5631	обратный слэш
5632	точка с запятой
5633	обратная кавычка
5634	кавычки
5635	левый Control
5636	правый Control
5637	левый Alt
5638	правый Alt
5639	левый Shift
5640	правый Shift
5641	переключить отображение
5642	сохранить группу
5643	добавить юнитов в группу
5644	переключить режим читов
5645	уменьшить точность зума
5646	увеличить точность зума
5647	запросить точность зума
5648	перезагрузить параметры
5649	остановить воспроизведение истории
5650	громче музыка
5651	тише музыка
5652	подтвердить с очередью
5653	подтвердить принудительно
5654	в очередь
5655	дальность на всю карту
5656	глобально выбрать всё
5657	листать предыдущую команду
5658	только неактивные команды
5659	переключить фильтр стороны назад
5660	переключить фильтр типа назад
5661	повторить сейчас и в очередь
5662	все солдаты
5663	предыдущий кандидат союза
5664	пять клеток
5665	игнорировать столкновение
5666	переключать юнита назад
5667	только простаивающие юниты
5668	включая здания без меню
5669	на всю карту
5670	рабочий и все солдаты
5671	поиск горячих клавиш
5672	введите текст поиска, Esc — отмена
5673	нет подходящих горячих клавиш
5674	расширенные варианты
5675	экспорт конфигурации горячих клавиш
5676	импорт конфигурации горячих клавиш
5677	скопировано в буфер обмена
5678	импорт успешен, действует со следующей игры
5679	импорт не удался, недопустимый формат
5680	слияние при импорте
5681	замена при импорте
5682	введите первую букву для быстрого перехода
5683	клавиши-псевдонимы
5684	клавиша по умолчанию
5685	интерфейс от первого лица
5686	уровень слишком низок, чтобы выучить этот навык
5687	этот навык уже изучен
5688	изучено
5689	получен возврат за снос здания
5690	бросить
5691	отдать
5692	включить авторазведку
5693	отключить авторазведку
5694	строительная площадка
5695	город
5696	равнина
5697	ручей
5698	возвышенность
5699	холм
4371	занято
4511	замедлить
4638	ручное производство
4654	здание золотого рудника
4662	равнина
4663	открытая местность
5710	громкость
5711	высота тона
5712	скорость речи
5713	голос
